Data Timestamp,WS MAX MS,WS MAX KT,WS MAX KM,TEMP MIN DEG,TEMP MAX DEG,RH MIN %,RH MAX %,DP MIN %,DP MAX %,QFE MIN %,QFE MAX %,QFF MIN %,QFF MAX %,IRAD SUM JM2,IRAD SUM MJM2,RAIN SUM MM
2019-11-18 00:00:00 +06,3.3,6.4,11.9,18.8,28.3,47.3,95.0,16.0,22.1,1010.2,1015.0,1011.2,1016.0,168794,0.16879400000000000000,0.0
2019-11-19 00:00:00 +06,3.4,6.6,12.2,17.9,27.7,53.2,94.2,16.7,20.6,1010.8,1015.1,1011.8,1016.0,165132,0.16513200000000000000,0.0
2019-11-20 00:00:00 +06,3.3,6.4,11.9,17.8,27.1,47.2,91.2,15.4,20.9,1011.2,1015.7,1012.2,1016.6,147987,0.14798700000000000000,0.0
2019-11-21 00:00:00 +06,2.9,5.6,10.4,16.6,27.4,47.3,90.7,15.5,20.9,1011.5,1016.0,1012.5,1017.0,191200,0.19120000000000000000,0.0
2019-11-22 00:00:00 +06,3.1,6.0,11.2,16.9,27.1,52.1,95.0,16.5,20.3,1011.6,1016.8,1012.6,1017.7,185760,0.18576000000000000000,0.0
2019-11-23 00:00:00 +06,3.7,7.2,13.3,17.3,26.6,51.7,95.0,16.2,19.7,1010.8,1016.7,1011.8,1017.6,165851,0.16585100000000000000,0.0
2019-11-24 00:00:00 +06,3.2,6.2,11.5,17.0,26.3,56.6,93.9,16.4,19.8,1010.9,1015.5,1011.9,1016.4,145082,0.14508200000000000000,0.0
2019-11-25 00:00:00 +06,3.4,6.6,12.2,17.4,27.0,58.0,94.7,16.8,21.1,1011.8,1016.7,1012.8,1017.7,162004,0.16200400000000000000,0.0
2019-11-26 00:00:00 +06,2.7,5.2,9.7,16.8,27.6,54.0,92.4,15.9,20.9,1011.4,1016.9,1012.4,1017.8,190687,0.19068700000000000000,0.0
2019-11-27 00:00:00 +06,2.8,5.4,10.1,17.2,27.8,56.3,94.8,16.8,21.6,1012.1,1016.5,1013.1,1017.4,195569,0.19556900000000000000,0.0
2019-11-28 00:00:00 +06,3.4,6.6,12.2,17.7,28.8,51.2,93.5,16.8,21.4,1011.7,1016.7,1012.7,1017.7,194974,0.19497400000000000000,0.0
2019-11-29 00:00:00 +06,2.7,5.2,9.7,17.6,28.6,50.2,95.0,17.0,21.2,1011.2,1016.1,1012.2,1017.0,188249,0.18824900000000000000,0.0
2019-11-30 00:00:00 +06,3.1,6.0,11.2,17.1,27.6,49.9,95.0,16.1,21.4,1011.3,1016.1,1012.2,1017.0,172962,0.17296200000000000000,0.0
2019-12-01 00:00:00 +06,4.4,8.6,15.8,16.8,26.4,43.5,93.6,14.0,18.7,1012.8,1016.8,1013.7,1017.7,162608,0.16260800000000000000,0.0
2019-12-02 00:00:00 +06,4.0,7.8,14.4,15.5,26.1,41.0,86.7,12.2,16.6,1012.3,1017.1,1013.3,1018.0,177425,0.17742500000000000000,0.0
2019-12-03 00:00:00 +06,3.2,6.2,11.5,13.7,25.0,47.0,87.6,11.9,16.9,1012.0,1016.4,1012.9,1017.3,162876,0.16287600000000000000,0.0
2019-12-04 00:00:00 +06,3.4,6.6,12.2,13.9,25.2,45.2,92.7,12.4,17.9,1013.2,1018.8,1014.1,1019.7,170155,0.17015500000000000000,0.0
2019-12-05 00:00:00 +06,3.4,6.6,12.2,14.4,28.8,38.1,91.3,13.4,19.0,1014.9,1019.6,1015.9,1020.5,196100,0.19610000000000000000,0.0
2019-12-06 00:00:00 +06,3.9,7.6,14.0,15.4,27.5,43.8,90.1,13.6,18.5,1015.7,1020.2,1016.7,1021.1,188863,0.18886300000000000000,0.0
2019-12-07 00:00:00 +06,4.5,8.7,16.2,14.4,26.9,38.8,90.8,12.0,18.4,1013.3,1018.6,1014.3,1019.5,186229,0.18622900000000000000,0.0
2019-12-08 00:00:00 +06,2.4,4.7,8.6,16.4,26.3,37.3,87.5,11.9,17.3,1013.7,1018.5,1014.7,1019.4,137948,0.13794800000000000000,0.0
2019-12-09 00:00:00 +06,2.5,4.9,9.0,16.7,25.2,51.2,89.6,14.1,18.7,1013.0,1018.1,1013.9,1019.0,117960,0.11796000000000000000,0.0
2019-12-10 00:00:00 +06,3.4,6.6,12.2,15.8,24.8,38.3,92.3,10.0,17.4,1011.1,1016.1,1012.0,1017.0,144497,0.14449700000000000000,0.0
2019-12-11 00:00:00 +06,3.9,7.6,14.0,13.8,23.6,44.6,89.7,11.9,16.7,1011.3,1015.7,1012.2,1016.6,138141,0.13814100000000000000,0.0
2019-12-12 00:00:00 +06,4.0,7.8,14.4,14.5,24.1,53.3,93.8,13.5,17.4,1013.2,1017.7,1014.1,1018.6,134216,0.13421600000000000000,0.0
2019-12-13 00:00:00 +06,2.4,4.7,8.6,12.9,24.6,45.0,93.5,12.6,16.9,1013.9,1018.4,1014.8,1019.3,164623,0.16462300000000000000,0.0
2019-12-14 00:00:00 +06,3.1,6.0,11.2,14.3,25.2,49.7,95.0,14.1,18.5,1014.5,1019.3,1015.4,1020.2,156022,0.15602200000000000000,0.0
2019-12-15 00:00:00 +06,3.7,7.2,13.3,14.6,25.4,54.2,94.7,14.3,18.0,1013.4,1018.4,1014.4,1019.3,159995,0.15999500000000000000,0.0
2019-12-16 00:00:00 +06,4.3,8.4,15.5,15.1,23.8,53.3,89.4,13.6,16.4,1013.7,1017.3,1014.6,1018.2,112098,0.11209800000000000000,0.0
2019-12-17 00:00:00 +06,4.2,8.2,15.1,13.9,24.3,50.8,93.0,13.5,16.9,1014.2,1018.8,1015.1,1019.7,150138,0.15013800000000000000,0.0
2019-12-18 00:00:00 +06,5.9,11.5,21.2,12.5,19.8,68.2,94.9,11.1,15.1,1014.9,1019.1,1015.8,1020.0,171351,0.17135100000000000000,0.0
2019-12-19 00:00:00 +06,3.6,7.0,13.0,11.1,13.8,85.1,94.0,10.7,12.5,1013.0,1018.1,1013.9,1019.0,24387,0.02438700000000000000,0.0
2019-12-20 00:00:00 +06,3.3,6.4,11.9,10.9,18.8,66.5,90.7,10.0,13.8,1012.1,1016.4,1013.0,1017.3,68925,0.06892500000000000000,0.0
2019-12-21 00:00:00 +06,2.8,5.4,10.1,9.3,14.0,80.4,95.0,9.3,12.7,1013.1,1016.9,1014.0,1017.8,34074,0.03407400000000000000,0.0
2019-12-22 00:00:00 +06,4.2,8.2,15.1,11.9,19.3,62.1,87.4,9.9,13.1,1013.2,1017.7,1014.1,1018.6,125966,0.12596600000000000000,0.0
2019-12-23 00:00:00 +06,4.2,8.2,15.1,11.4,19.8,65.1,92.8,11.0,14.8,1013.9,1017.6,1014.8,1018.5,120100,0.12010000000000000000,0.0
2019-12-24 00:00:00 +06,4.3,8.4,15.5,10.6,19.0,69.8,95.0,10.5,14.8,1014.3,1018.8,1015.2,1019.7,104042,0.10404200000000000000,0.0
2019-12-25 00:00:00 +06,3.7,7.2,13.3,10.6,19.0,67.9,95.0,10.6,14.5,1013.0,1018.3,1013.9,1019.2,88145,0.08814500000000000000,0.0
2019-12-26 00:00:00 +06,4.1,8.0,14.8,10.6,20.5,56.9,95.0,10.5,14.0,1013.1,1016.7,1014.0,1017.6,102525,0.10252500000000000000,0.0
2019-12-27 00:00:00 +06,4.5,8.7,16.2,13.0,16.7,75.9,95.0,12.1,13.8,1012.4,1015.8,1013.3,1016.7,41780,0.04178000000000000000,0.0
2019-12-28 00:00:00 +06,5.0,9.7,18.0,11.1,17.3,71.1,93.1,10.5,13.2,1014.2,1018.2,1015.1,1019.1,89190,0.08919000000000000000,0.0
2019-12-29 00:00:00 +06,5.2,10.1,18.7,9.8,23.7,48.6,95.0,9.8,14.2,1012.4,1017.0,1013.3,1017.9,194983,0.19498300000000000000,0.0
2019-12-30 00:00:00 +06,4.4,8.6,15.8,10.3,24.4,43.1,93.9,9.9,14.4,1013.9,1017.5,1014.8,1018.4,195443,0.19544300000000000000,0.0
2019-12-31 00:00:00 +06,3.7,7.2,13.3,11.7,25.2,48.3,91.7,10.4,16.6,1014.3,1019.1,1015.2,1020.0,176435,0.17643500000000000000,0.0
2020-01-01 00:00:00 +06,4.2,8.2,15.1,13.8,25.3,44.4,92.4,13.0,16.0,1015.7,1020.7,1016.6,1021.6,158112,0.15811200000000000000,0.0
2020-01-02 00:00:00 +06,3.5,6.8,12.6,14.1,25.0,52.8,92.6,13.7,17.9,1016.4,1021.8,1017.3,1022.7,136329,0.13632900000000000000,0.0
2020-01-03 00:00:00 +06,5.7,11.1,20.5,14.4,19.8,71.4,95.0,12.7,17.8,1013.6,1021.6,1014.5,1022.5,86540,0.08654000000000000000,0.0
2020-01-04 00:00:00 +06,3.9,7.6,14.0,15.1,21.8,65.9,95.0,15.0,17.2,1012.5,1017.4,1013.4,1018.3,153846,0.15384600000000000000,0.0
2020-01-05 00:00:00 +06,4.4,8.6,15.8,13.8,20.4,62.0,93.1,13.3,16.3,1012.4,1017.2,1013.3,1018.1,85134,0.08513400000000000000,0.0
2020-01-06 00:00:00 +06,5.5,10.7,19.8,10.7,20.6,48.2,95.0,9.9,14.0,1016.2,1020.9,1017.1,1021.8,191653,0.19165300000000000000,0.0
2020-01-07 00:00:00 +06,3.7,7.2,13.3,9.1,15.7,75.9,94.1,8.8,12.6,1013.6,1018.1,1014.5,1019.0,80510,0.08051000000000000000,0.0
2020-01-08 00:00:00 +06,3.1,6.0,11.2,10.8,17.7,72.6,95.0,10.2,14.2,1013.0,1018.5,1013.9,1019.4,84192,0.08419200000000000000,0.0
2020-01-09 00:00:00 +06,3.7,7.2,13.3,12.9,19.1,65.1,94.1,11.1,15.8,1010.8,1017.2,1011.7,1018.1,56683,0.05668300000000000000,0.0
2020-01-10 00:00:00 +06,5.7,11.1,20.5,12.0,22.7,53.0,95.0,11.9,15.4,1013.4,1017.2,1014.3,1018.1,171753,0.17175300000000000000,0.0
2020-01-11 00:00:00 +06,5.8,11.3,20.9,11.2,16.0,78.4,95.0,11.2,13.3,1014.2,1018.3,1015.1,1019.2,47718,0.04771800000000000000,0.0
2020-01-12 00:00:00 +06,3.8,7.4,13.7,10.4,16.7,76.7,95.0,10.4,14.2,1010.7,1016.2,1011.6,1017.1,60221,0.06022100000000000000,0.0
2020-01-13 00:00:00 +06,2.7,5.2,9.7,9.1,19.1,70.0,95.0,9.1,15.8,1009.9,1013.6,1010.8,1014.5,100503,0.10050300000000000000,0.0
2020-01-14 00:00:00 +06,3.0,5.8,10.8,11.4,20.7,64.8,95.0,11.4,16.9,1011.2,1015.1,1012.1,1016.0,112063,0.11206300000000000000,0.0
2020-01-15 00:00:00 +06,3.4,6.6,12.2,11.0,23.5,52.3,95.0,11.0,18.3,1012.6,1016.6,1013.5,1017.5,162909,0.16290900000000000000,0.0
2020-01-16 00:00:00 +06,3.3,6.4,11.9,12.1,24.9,50.8,95.0,12.1,16.9,1012.8,1016.9,1013.7,1017.8,167542,0.16754200000000000000,0.0
2020-01-17 00:00:00 +06,3.9,7.6,14.0,13.2,26.4,45.0,95.0,13.2,17.6,1013.2,1017.4,1014.2,1018.3,186769,0.18676900000000000000,0.0
2020-01-18 00:00:00 +06,3.5,6.8,12.6,12.9,27.0,40.7,95.0,12.9,18.1,1012.4,1016.6,1013.3,1017.5,185554,0.18555400000000000000,0.0
2020-01-19 00:00:00 +06,5.4,10.5,19.4,14.1,26.3,47.5,95.0,14.1,18.3,1012.0,1016.0,1013.0,1016.9,159505,0.15950500000000000000,0.0
2020-01-20 00:00:00 +06,5.4,10.5,19.4,13.3,21.1,56.0,92.3,10.3,15.1,1013.4,1018.4,1014.3,1019.3,165982,0.16598200000000000000,0.0
2020-01-21 00:00:00 +06,3.9,7.6,14.0,9.9,22.1,36.1,92.0,6.5,12.8,1015.9,1020.6,1016.8,1021.5,195141,0.19514100000000000000,0.0
2020-01-22 00:00:00 +06,5.0,9.7,18.0,9.2,22.4,40.1,95.0,8.5,14.5,1015.3,1020.7,1016.2,1021.6,184441,0.18444100000000000000,0.0
2020-01-23 00:00:00 +06,2.8,5.4,10.1,10.4,21.7,48.4,90.4,8.8,13.3,1012.7,1018.1,1013.6,1019.0,130156,0.13015600000000000000,0.0
2020-01-24 00:00:00 +06,4.3,8.4,15.5,9.0,22.1,37.2,95.0,8.1,16.1,1012.6,1017.9,1013.5,1018.8,160440,0.16044000000000000000,0.0
2020-01-25 00:00:00 +06,3.7,7.2,13.3,10.2,21.7,40.9,89.6,8.3,12.8,1011.3,1016.9,1012.2,1017.8,169444,0.16944400000000000000,0.0
2020-01-26 00:00:00 +06,4.8,9.3,17.3,9.7,22.0,45.6,92.5,9.0,12.6,1010.3,1015.0,1011.2,1015.9,167432,0.16743200000000000000,0.0
2020-01-27 00:00:00 +06,4.1,8.0,14.8,10.0,21.1,46.3,93.6,9.4,12.7,1010.3,1014.9,1011.2,1015.8,156000,0.15600000000000000000,0.0
2020-01-28 00:00:00 +06,2.5,4.9,9.0,10.2,21.7,51.9,95.0,10.1,14.4,1011.1,1015.8,1012.0,1016.7,153152,0.15315200000000000000,0.0
2020-01-29 00:00:00 +06,3.0,5.8,10.8,13.0,20.6,60.7,95.0,12.9,15.5,1013.1,1018.1,1014.0,1019.0,83407,0.08340700000000000000,0.0
2020-01-30 00:00:00 +06,3.4,6.6,12.2,14.0,23.0,56.4,94.7,13.7,16.8,1010.8,1015.7,1011.7,1016.6,108454,0.10845400000000000000,0.0
2020-01-31 00:00:00 +06,4.8,9.3,17.3,14.8,22.9,60.8,92.5,11.2,16.8,1011.0,1015.9,1011.9,1016.8,133950,0.13395000000000000000,0.0
2020-02-01 00:00:00 +06,4.4,8.6,15.8,11.2,23.4,40.1,88.3,9.5,14.3,1013.2,1016.9,1014.1,1017.8,185255,0.18525500000000000000,0.0
2020-02-02 00:00:00 +06,4.9,9.5,17.6,10.9,22.8,27.8,85.2,5.1,11.1,1015.2,1019.5,1016.1,1020.4,200187,0.20018700000000000000,0.0
2020-02-03 00:00:00 +06,4.0,7.8,14.4,8.9,22.1,30.0,88.8,4.7,9.5,1014.6,1020.0,1015.5,1020.9,210652,0.21065200000000000000,0.0
2020-02-04 00:00:00 +06,4.6,8.9,16.6,9.3,23.5,36.7,91.9,8.0,12.7,1012.0,1018.2,1012.9,1019.1,197146,0.19714600000000000000,0.0
2020-02-05 00:00:00 +06,4.5,8.7,16.2,12.8,24.5,29.1,81.3,7.1,13.6,1011.0,1015.7,1012.0,1016.6,185876,0.18587600000000000000,0.0
2020-02-06 00:00:00 +06,4.3,8.4,15.5,10.8,24.7,29.7,92.7,7.5,12.8,1012.9,1017.9,1013.8,1018.8,205875,0.20587500000000000000,0.0
2020-02-07 00:00:00 +06,4.3,8.4,15.5,11.2,24.6,30.5,80.4,6.6,12.3,1014.6,1018.9,1015.5,1019.8,165235,0.16523500000000000000,0.0
2020-02-08 00:00:00 +06,4.7,9.1,16.9,14.2,22.5,41.0,80.2,9.2,14.2,1014.9,1019.1,1015.8,1020.0,119358,0.11935800000000000000,0.0
